Title,URL
  Volela sam ga kao Boga ,https://www.youtube.com/watch?v=orUYPFLqf-o
 Zapocela sam nesto divno sa dosta mladjim bokserom ,https://www.youtube.com/watch?v=EdURHucht4s
 Kako mi je to mogao uraditi brat od muza i svekrva ,https://www.youtube.com/watch?v=XqnEEvaSYws
 Molila sam ga da mi to ne radi ,https://www.youtube.com/watch?v=N29sjO_95iY
 Kako sam mogla biti tolika glupaca? Sta je od mene napravio ,https://www.youtube.com/watch?v=JcqnErPtbzU
 ?oban me odveo u selo ,https://www.youtube.com/watch?v=D97dslIZ4GU
 Odveo me na kafu i tada je sve krenulo ,https://www.youtube.com/watch?v=eXpljOw7t5E
" NIJE NAM ISLO, STIDEO SE STO SAM STARIJA OD NJEGA ",https://www.youtube.com/watch?v=mJ6yU48K5Hs
" Dala sam broj u oglas, trazim muza ",https://www.youtube.com/watch?v=RG_gpZPVV_U
" Boze, kako sam mogla to da uradim? ",https://www.youtube.com/watch?v=F8d1cMImLDU
 DRVOSECA i JA ,https://www.youtube.com/watch?v=NHpXHxhyTOk
 Bracni par mi je dobro platio da uradim to ,https://www.youtube.com/watch?v=_yPYwtf7PQs
" Kuda da odem, koga da molim za pomoc ",https://www.youtube.com/watch?v=Jy0H036xUrw
" Mnogo sam otvorena, radim stvari koje niko nebi ",https://www.youtube.com/watch?v=rjo5pY7AsyU
 Bio je POGRESAN ,https://www.youtube.com/watch?v=Da1P5tpePfw
" Otisla sam do hotelske sobe, tamo je docekao ... ",https://www.youtube.com/watch?v=NJcgPbRJH9w
 Moj decko je godiste mog sina ,https://www.youtube.com/watch?v=MjZLzoK5Uys
 Komsija me gledao dvogledom sta radim navece ,https://www.youtube.com/watch?v=IILkS1wAkYo
 Šeik je davao ogromno bogatstvo da bude sa mnom ,https://www.youtube.com/watch?v=EDgLX_2HYWc
 Bilo je to u tramvaju ,https://www.youtube.com/watch?v=HX9AES8XFz8
 Pokazao je celom razredu nasu privatnu stvar ,https://www.youtube.com/watch?v=1BgYbqEtPps
 Dosla sam sa sela u grad i podivljala sam ,https://www.youtube.com/watch?v=J3jVGAc_Jxc
 Nasao je moje slike ,https://www.youtube.com/watch?v=lHOjloBrg6Q
 Video sam je na magistrali ,https://www.youtube.com/watch?v=RB7v_cpXqDc
 Pomogao mi je najbolji prijatelj od muza ,https://www.youtube.com/watch?v=nrCaGDQmwFE
 Trazio mi je slike ,https://www.youtube.com/watch?v=kdpp_F9whgs
 STIDIM SE TOGA ,https://www.youtube.com/watch?v=mMjktc-KiPk
 DADILJA ,https://www.youtube.com/watch?v=aDRubfAvdNs
" Muz mi je u kolicima, mrzim sto moram da ga pazim, ismejavam ga ",https://www.youtube.com/watch?v=roZe0SjDmDo
 Sredovecna zena me izmanipulisala ,https://www.youtube.com/watch?v=4uOGj8yLPKA
 Oprostila sam ocuhu sva nedela koja mi je ucinio ,https://www.youtube.com/watch?v=bKbGBVcctzc
 Celi zivot sam jurila ozenjene ,https://www.youtube.com/watch?v=bMU2TnzzdJs
 Odlucila sam ostariti sama ,https://www.youtube.com/watch?v=eIE-m4CTW3I
 Tajni obozavatelj ,https://www.youtube.com/watch?v=StDuxZGYyc8
